Team,Runs,Hits ,Doubles,Triples,Homeruns,RBIS,SBS,BBS,SOS,BA,OBP,SLG,OPS,OPS_PLUS,TB,League,Wins,Loss,Win_Percent
Atlanta Braves,789,1394,298,11,243,753,87,470,1498,0.253,0.317,0.443,0.76,109,2443,National,101,61,0.6234567901
Philadelphia Phillies,747,1392,255,29,205,719,105,478,1363,0.253,0.317,0.422,0.739,108,2320,National,87,75,0.537037037
Miami Marlins,586,1241,248,20,144,554,122,436,1429,0.23,0.294,0.363,0.657,85,1961,National,69,93,0.4259259259
New York Mets,772,1422,272,27,171,735,62,510,1217,0.259,0.332,0.412,0.744,113,2261,National,101,61,0.6234567901
Washington Nationals,603,1351,252,20,136,579,75,442,1221,0.249,0.31,0.377,0.687,98,2051,National,55,107,0.3395061728
Milwaukee Brewers,725,1271,251,17,219,703,96,577,1464,0.235,0.315,0.409,0.724,103,2213,National,86,76,0.5308641975
Chicago Cubs,657,1293,265,31,159,620,111,507,1448,0.238,0.311,0.387,0.698,94,2097,National,74,88,0.4567901235
Cincinnati Reds,648,1264,235,18,156,618,58,452,1430,0.235,0.304,0.372,0.676,85,2003,National,62,100,0.3827160494
Pittsburgh Pirates,591,1186,221,29,158,555,89,476,1497,0.222,0.291,0.364,0.655,85,1939,National,62,100,0.3827160494
St.Louis Cardinals,772,1386,290,21,197,739,95,537,1226,0.252,0.325,0.42,0.745,112,2309,National,93,69,0.5740740741
Los Angeles Dodgers,847,1418,325,31,212,812,98,607,1374,0.257,0.333,0.442,0.775,115,2441,National,111,51,0.6851851852
Arizona Diamondbacks,702,1232,262,24,173,658,104,531,1341,0.23,0.304,0.385,0.689,95,2061,National,74,88,0.4567901235
San Diego Padres,752,1316,273,14,205,719,137,653,1311,0.244,0.329,0.413,0.742,106,2232,National,89,73,0.549382716
San Francisco Giants,716,1261,255,18,183,683,64,571,1462,0.234,0.315,0.39,0.705,100,2101,National,81,81,0.5
Colorado Rockies,698,1408,280,34,149,669,45,453,1330,0.254,0.315,0.398,0.713,91,2203,National,68,94,0.4197530864
Baltimore Orioles,674,1281,275,25,171,639,95,476,1390,0.236,0.305,0.39,0.695,99,2119,American,83,79,0.512345679
Tampa Bay Rays,666,1294,296,17,139,634,95,500,1395,0.239,0.309,0.377,0.686,99,2041,American,86,76,0.5308641975
Toronto Blue Jays,775,1464,307,12,200,756,67,500,1242,0.264,0.329,0.431,0.76,117,2395,American,92,70,0.5679012346
New York Yankees,807,1308,225,8,254,764,102,620,1391,0.241,0.325,0.426,0.751,112,2311,American,99,63,0.6111111111
Boston Red Sox,735,1427,352,12,155,704,52,478,1373,0.258,0.321,0.409,0.73,102,2268,American,78,84,0.4814814815
Minnesota Twins,696,1356,269,18,178,668,38,518,1353,0.248,0.317,0.401,0.718,105,2195,American,78,84,0.4814814815
Detroit Tigers,557,1240,235,27,110,530,47,380,1413,0.231,0.286,0.346,0.632,82,1859,American,66,96,0.4074074074
Cleveland Guardians,698,1410,273,31,127,662,119,450,1122,0.254,0.316,0.383,0.699,102,2126,American,92,70,0.5679012346
Chicago White Sox,686,1435,272,9,149,654,58,388,1269,0.256,0.31,0.387,0.697,97,2172,American,81,81,0.5
Kansas City Royals,640,1327,247,38,138,613,104,460,1287,0.244,0.306,0.38,0.686,93,2064,American,65,97,0.4012345679
Houston Astros,737,1341,284,13,214,715,83,528,1179,0.248,0.319,0.424,0.743,111,2293,American,106,56,0.6543209877
Texas Rangers,707,1308,224,20,198,670,128,456,1446,0.239,0.301,0.395,0.696,96,2166,American,68,94,0.4197530864
Seattle Mariners,690,1236,229,19,197,663,83,596,1397,0.23,0.315,0.39,0.705,106,2094,American,90,72,0.5555555556
Los Angeles Angels,623,1265,219,31,190,600,77,449,1539,0.233,0.297,0.39,0.687,93,2116,American,73,89,0.450617284
Oakland Athletics,568,1147,249,15,137,537,78,433,1389,0.216,0.281,0.346,0.627,84,1837,American,60,102,0.3703703704