Team,League,Win,Loss,Win_Percent,ERA,CG,SHO,SV,H,R,ER,HR,BB,SO,ERA_PLUS,FIP,WHIP,H9,W9,SO9
Atlanta Braves,National,104,58,0.6419753086,4.14,1,1,52,1341,716,662,187,534,1516,108,4.1,1.302,8.4,3.3,9.5
Philadelphia Phillies,National,90,72,0.5555555556,4.02,1,1,45,1317,715,645,185,470,1454,107,4,1.239,8.2,2.9,9.1
Miami Marlins,National,84,78,0.5185185185,4.22,3,1,43,1341,723,673,191,514,1490,107,4.13,1.292,8.4,3.2,9.3
New York Mets,National,75,87,0.462962963,4.29,1,0,34,1333,730,676,190,595,1397,99,4.47,1.361,8.5,3.8,8.9
Washington Nationals,National,71,91,0.4382716049,5.02,0,0,42,1512,845,797,245,592,1225,86,5.15,1.473,9.5,3.7,7.7
Milwaukee Brewers,National,92,70,0.5679012346,3.71,1,1,46,1218,647,595,198,496,1425,116,4.21,1.186,7.6,3.1,8.9
Chicago Cubs,National,83,79,0.512345679,4.08,1,1,35,1328,723,651,179,513,1377,110,4.16,1.283,8.3,3.2,8.6
Cincinnati Reds,National,82,80,0.5061728395,4.83,0,0,53,1426,821,772,222,613,1381,95,4.79,1.417,8.9,3.8,8.6
Pittsburgh Pirates,National,76,86,0.4691358025,4.6,2,2,47,1380,790,731,179,596,1363,97,4.4,1.382,8.7,3.8,8.6
St.Louis Cardinals,National,71,91,0.4382716049,4.79,0,0,36,1549,829,760,179,530,1215,90,4.43,1.465,9.8,3.3,7.7
Los Angeles Dodgers,National,100,62,0.6172839506,4.06,0,0,44,1284,699,652,200,454,1388,108,4.23,1.202,8,2.8,8.6
Arizona Diamondbacks,National,84,78,0.5185185185,4.47,1,1,44,1375,761,713,197,525,1351,98,4.36,1.324,8.6,3.3,8.5
San Diego Padres,National,82,80,0.5061728395,3.73,0,0,36,1270,648,598,174,557,1445,110,4.14,1.268,7.9,3.5,9
San Francisco Giants,National,79,83,0.487654321,4.02,4,2,50,1395,719,641,173,403,1359,105,3.92,1.253,8.8,2.5,8.5
Colorado Rockies,National,59,103,0.3641975309,5.67,0,0,32,1598,957,891,234,586,1129,89,5.24,1.545,10.2,3.7,7.2
Baltimore Orioles,American,101,61,0.6234567901,3.89,0,0,49,1334,678,629,177,473,1431,106,3.98,1.243,8.3,2.9,8.9
Tampa Bay Rays,American,99,63,0.6111111111,3.86,0,0,45,1258,665,618,177,439,1507,108,3.81,1.177,7.9,2.7,9.4
Toronto Blue Jays,American,89,73,0.549382716,3.78,1,1,51,1326,671,610,198,488,1528,113,4.06,1.25,8.2,3,9.5
New York Yankees,American,82,80,0.5061728395,3.97,3,3,44,1272,698,635,195,508,1439,110,4.25,1.236,8,3.2,9
Boston Red Sox,American,78,84,0.4814814815,4.52,0,0,43,1416,776,718,208,497,1423,101,4.37,1.338,8.9,3.1,9
Minnesota Twins,American,87,75,0.537037037,3.87,2,2,38,1294,659,624,194,443,1560,111,3.89,1.197,8,2.7,9.7
Detroit Tigers,American,78,84,0.4814814815,4.24,0,0,41,1320,740,680,187,476,1374,105,4.13,1.245,8.2,3,8.6
Cleveland Guardians,American,76,86,0.4691358025,3.99,1,0,47,1353,697,640,173,534,1311,105,4.21,1.307,8.4,3.3,8.2
Chicago White Sox,American,61,101,0.3765432099,4.87,2,0,28,1372,841,774,214,654,1470,92,4.71,1.415,8.6,4.1,9.2
Kansas City Royals,American,56,106,0.3456790123,5.17,3,0,28,1429,859,809,207,553,1270,86,4.7,1.407,9.1,3.5,8.1
Houston Astros,American,90,72,0.5555555556,3.94,2,2,42,1312,698,632,201,537,1460,107,4.31,1.279,8.2,3.3,9.1
Texas Rangers,American,90,72,0.5555555556,4.28,3,1,30,1330,716,683,198,491,1351,105,4.32,1.268,8.3,3.1,8.5
Seattle Mariners,American,88,74,0.5432098765,3.74,2,1,44,1300,659,602,184,421,1459,109,3.88,1.187,8.1,2.6,9.1
Los Angeles Angels,American,73,89,0.450617284,4.64,1,1,43,1394,829,738,209,636,1445,97,4.65,1.418,8.8,4,9.1
Oakland Athletics,American,50,112,0.3086419753,5.48,0,0,29,1464,924,865,213,694,1300,75,5.05,1.52,9.3,4.4,8.2